message,is_flight_intent
 what are the lowest one way fares from atlanta to pittsburgh,0
 okay and then from pittsburgh i'd like to travel to atlanta on september fourth,1
 what flights go from pittsburgh to baltimore after 8 o'clock next wednesday,1
 how much does it cost to get downtown from the atlanta airport by limousine,0
 i would like to fly from boston to san francisco,1
 show me the airfare from pittsburgh to san francisco,0
 are there any flights on june eleventh from st. petersburg to milwaukee,1
 what is hp,0
 show me the type of aircraft that cp uses,0
 show me flights from pittsburgh to san francisco on sunday,1
 what type of aircraft does eastern fly from atlanta to denver before 6 pm,0
 can you list all flights from chicago to milwaukee,1
 display all flights from denver to san francisco on august seven,1
 what are the most expensive first class tickets between boston and san francisco,0
 which of the flights from pittsburgh to baltimore on july twenty fifth 1991 carries the smallest number of passengers,1
 show me all the flights to baltimore after 6 o'clock pm,1
 what airlines go from atlanta to baltimore,0
 what does fare code qo mean,0
 show me flights from baltimore to dallas,1
 what does the abbreviation co mean,0
 can you list all flights between milwaukee and chicago,1
 what are the air restrictions on flights from pittsburgh to atlanta for the airfare of 416 dollars,0
 last nonstop flight from los angeles to pittsburgh on monday night,1
 what is the earliest flight from boston to san francisco,1
 i would like an early morning flight from chicago into seattle on june first on continental airline,1
 what would be cost of a round trip from pittsburgh to san francisco,0
 show me the flights from dallas to baltimore,1
 give me the flights from baltimore to pittsburgh,1
 please list the flights from charlotte to long beach arriving after lunch time,1
 what flights are available between philadelphia and denver on september sixteenth,1
 what type of aircraft leaving after 2 pm from boston to oakland,0
 i would like the cheapest flight from boston to san francisco,1
 are there any flights from boston to oakland that stop,1
 i would like to find a flight from pittsburgh to boston on wednesday and i have to be in boston by one so i'd like a flight out of here no later than 11 am,1
 i need information on a flight from washington to fort worth,1
 can you tell me what flights you have from baltimore to dallas,1
 what are the ground transportation services in philadelphia,0
 give me flights from baltimore to denver on united that offer first class,1
 does american airlines have a flight from pittsburgh to atlanta,1
 all flights and fares from atlanta to dallas round trip after 12 pm less than 1100 dollars,1
 list flights from denver to baltimore,1
 i would like a list of the round trip flights between indianapolis and orlando on the twenty seventh or the twenty eighth of december,1
 i need a return flight from denver to atlanta,1
 i'd like a flight from burbank to tacoma washington,1
 what flights from atlanta to washington,1
 please list all flights from atlanta to baltimore on wednesday and thursday,1
 what is the latest flight between washington and boston,1
 explain the restriction ap 57,0
 the latest flight from baltimore to oakland please and i'd like a meal with that,1
 what are the flights on january first 1992 from boston to san francisco,1
 on november twenty third what flights are available between boston and denver,1
 list nonstop flights on sunday from new york to las vegas and list nonstop flights on sunday from memphis to las vegas,1
 show me the list of flights from dallas to baltimore on american and delta airlines,1
 what does us stand for,0
 could you show me all weekday flights from phoenix to denver,1
 show me all united airlines first class flights,1
 what is hp,0
 what is the price of a first class ticket from milwaukee to san francisco round trip,0
 find a flight on delta from philadelphia to san francisco,1
 i'm trying to find the flight number from a flight from orlando to cleveland on us air and it arrives around 10 pm,1
 what are the costs of flights from dallas to boston tomorrow,0
 what flights go from philadelphia to dallas via atlanta,1
 what's the cheapest round trip fare between boston and washington,0
 what are the flights between dallas and pittsburgh on july eight,1
 show me flights from milwaukee to orlando on thursday morning,1
 what flights are available from boston to dallas,1
 i want to leave boston at 838,1
 kindly give me the type of aircraft used to fly from atlanta to denver,0
 can you show me flights from dallas to atlanta on tuesday night,1
 is there ground transportation from atlanta airport to downtown atlanta,0
 are there any limousines or taxi services available at the boston airport,0
 on eastern flight 825 flying from atlanta to denver can you tell me what type of aircraft is used on a flight when it leaves at 555,1
 how do i get from the airport to downtown in tacoma,1
 tuesday morning flights between charlotte and baltimore,1
 show me flights from atlanta to washington,1
 show me all flights from atlanta to san francisco which leave atlanta after 5 o'clock pm tomorrow,1
 round trip fares from denver to philadelphia less than 1000 dollars,0
 i want to fly from milwaukee to orlando on wednesday evening,1
 how many daily us air flights are there between philadelphia and pittsburgh,0
 show me all the northwest flights from new york to milwaukee that leave at 720 am,1
 how long does it take to get from atlanta airport into the city of atlanta,0
 what's the cheapest way to fly between atlanta and denver,1
 what are the fares for flights from la to newark leaving monday morning,0
 give me the list of flights for continental airlines between boston and denver,1
 can i see ground transportation from long beach airport to downtown,0
 i want a flight from atlanta to pittsburgh,1
 us 201,1
 what flights are available from pittsburgh to oakland airport,1
 afternoon flight from denver to san francisco,1
 show me all the flights from charlotte to cleveland,1
 show me the flights on twa to atlanta in the morning,1
 do all the flights to oakland land at the same place,1
 show me the flights from st. petersburg to toronto that arrive before noon,1
 how much is a first class ticket from baltimore to san francisco,0
 please give me all flights from long beach to memphis,1
 i want to fly nonstop from denver to dallas,1
 what is the earliest flight leaving boston on july first to dallas on july first,1
 i'd like a flight tomorrow evening from nashville to houston that includes dinner for tomorrow,1
 show me the flights from denver to san diego leaving after 5 pm,1
 what flights go from san francisco to washington via indianapolis,1
 can you help me with ground transportation information i need to get from the airport in philadelphia to downtown philadelphia,0
 show me the earliest flight on wednesday from baltimore to newark,1
 could you please give me the round trip fare from denver to atlanta,0
 show sunday flights from seattle to chicago,1
 what flights depart from pittsburgh and arrive in oakland california,1
 flights from houston to los angeles departing after 1026,1
 i would like a flight from pittsburgh to san francisco on august twentieth,1
 show me flights from dallas to atlanta,1
 please give all flights from dallas to oakland california monday,1
 what flights are available wednesday morning from boston to denver,1
 show me the flights from pittsburgh to baltimore arriving in baltimore on june fourteenth,1
 list the morning flights at a 124 dollars from atlanta to boston,1
 show me the flights from denver to philadelphia on a saturday,1
 i need to fly from boston to denver and then to san francisco and back to boston,1
 what is the cheapest flight on american airlines from cleveland to miami,1
 show me flights available from atlanta to baltimore leaving on monday morning,1
 what's the earliest flight from pittsburgh to baltimore on thursday morning,1
 what ground transportation is available in boston,0
 what is the latest flight leaving pittsburgh returning to denver,1
 does lufthansa fly between boston and oakland,1
 show me flights from boston to washington leaving july fifteen,1
 list all the landings at general mitchell international,1
 how many first class flights does delta have today,0
 are there any nonstop flights from indianapolis to san diego on wednesday may twelfth,1
 what are the flights which depart from san francisco fly to washington via indianapolis and arrive by 9 pm,1
 please list the flights from dallas fort worth to boston on july twenty third,1
 hello i would like to plan a flight on american airlines from boston to denver,1
 what are the two american airlines flights that leave from dallas to san francisco in the evening,1
 what flights do you have from baltimore to san francisco,1
 i'd like a nonstop flight from indianapolis to san diego that serves dinner what's available,1
 what times on wednesday could i take a plane from denver to oakland,1
 show me ground transportation for boston,0
 are there any flights from boston to san francisco which stop in denver,1
 what airlines have business class,0
 please give me all flights from long beach to memphis,1
 flight from denver to dallas fort worth,1
 list flights from san francisco to pittsburgh,1
 i'd like to know what type of plane flies from boston to dallas fort worth after 530,0
 please tell me the times of the flights between boston and baltimore,1
 find a flight from philadelphia to san francisco please on delta,1
 what is the cost of a ticket going from denver to boston july twenty fifth 1991,0
 flight numbers from minneapolis to long beach on june twenty six,1
 i'm looking for a flight from oakland to denver with a stopover in dallas fort worth,1
 show me first class airlines from san francisco to pittsburgh on next tuesday first class only,0
 what flights are there on saturdays from philadelphia to denver,1
 i need a flight from denver to washington dc on wednesday,1
 show me the flights from columbus to charlotte,1
 oh let's see does eastern airline have a flight from atlanta to washington,1
 what is the price of business class from boston to san francisco on twa,0
 flights from atlanta to dallas in the afternoon,1
 eastern flight 825 from atlanta to denver leaving at 555 what type of aircraft is used on that flight,1
 what are all the flights between san francisco and boston,1
 define airline us,0
 i want to fly philadelphia to san francisco on july eighth,1
 find a flight from boston to washington on monday,1
 give me information on flights from atlanta to washington dc on wednesday after 4 pm and thursday before 9 am,1
 find the flights from boston to san francisco leaving after 6 pm,1
 show me the cheapest fare from dallas to baltimore,0
 i live in denver and i'd like to make a trip to pittsburgh,1
 give me flights that arrive in baltimore from atlanta denver and pittsburgh,1
 hello i'm trying to find a flight that goes from pittsburgh to denver after 2 pm,1
 what airlines fly between boston and san francisco,0
 code ff,0
 what is the earliest flight from boston to san francisco on november seventh,1
 list all flights from boston to san francisco on us air,1
 i would like a list of flights from pittsburgh to dallas,1
 on november twenty third of this year 1991 i'd like to fly from atlanta to denver and i'd like to fly on delta,1
 do you have any airlines that would stop at denver on the way from baltimore to san francisco,0
 list all flights from tampa florida to miami that are the cheapest one way,1
 list the nonstop flights on wednesday june second from miami to baltimore arriving in baltimore between 1115 am and 1245 pm,1
 give me flights from san francisco to boston on thursday afternoon,1
 denver to atlanta,1
 what's the last flight leaving from pittsburgh to oakland,1
 does any airline have an afternoon flight from boston to oakland,0
 do you have a flight from philadelphia to san francisco with a stopover in dallas,1
 i want to make a trip from washington to san francisco,1
 i would like information on flights leaving atlanta in the afternoon arriving in dallas,1
 show me all flights from san diego to new york nonstop,1
 show me all flights with fares from pittsburgh to san francisco,1
 what are the flights from milwaukee to tampa,1
 list the flights from salt lake city to st. petersburg,1
 what are the least expensive flights from denver to atlanta,1
 list united flights from denver to san francisco on tuesdays or wednesdays,1
 show me the flights on delta or twa which go through atlanta,1
 is there a flight leaving san francisco to denver,1
 show flights leaving boston on wednesday morning and arriving in denver,1
 what airlines fly from boston to atlanta,0
 cheapest fare from indianapolis to seattle,0
 show me all daily flights out of boston that have coach class,1
 i need an early flight from denver to san francisco please and i would like breakfast served on that,1
 dallas to baltimore,1
 may i have a listing of flights on monday from minneapolis to long beach california please,1
 630 am flight on august twenty seventh from atlanta to dallas,1
 i need a flight from philadelphia to san francisco next wednesday,1
 now show me the flights from denver to philadelphia on a saturday,1
 what is the total seating capacity of all aircraft of american airlines,0
 show me all flights from denver to burbank,1
 show me all flights from san francisco that go to boston baltimore or philadelphia,1
 please list all the flights from boston to san francisco leaving before 10 am,1
 shortest flights from nashville to st. petersburg,1
 what delta flights from cincinnati to new york city arrive at new york city before 6 pm on saturday,1
 all fares and flights from philadelphia,0
 are there any flights from denver to atlanta which connect in pittsburgh,1
 show me the flights from newark new jersey to ontario international next saturday,1
 show all nonstop flights from boston to atlanta,1
 give me the flights from new york to las vegas and memphis to las vegas on sunday,1
 what does ea mean,0
 show me the southwest airlines flights from san diego to san francisco,1
 what is the first class fare for a round trip dallas to denver,0
 show me times for coach flights between boston and baltimore on wednesday,1
 what flights leaving pittsburgh arrive in denver and leave after say 6 o'clock at night,1
 show me the flights from denver to westchester county,1
 show me the earliest flight on wednesday from baltimore to newark,1
 find me the earliest flight from boston to atlanta and the latest return to boston on the same day,1
 what is airline dl,0
 show me all flights from san francisco to atlanta,1
 i'd like to book the cheapest one way flight from denver to pittsburgh on july fifteenth,1
 what are the flights available in the morning between denver and san francisco,1
 does delta airlines fly from boston to washington dc,1
 do you fly a 747 from baltimore to san francisco,1
 flights from baltimore to dallas,1
 what do you have tomorrow morning from pittsburgh to atlanta,1
 i would like some information on the earliest flights you have leaving atlanta arriving in denver,1
 what flights are there from cleveland to miami on us air that arrive in miami before 4 pm,1
 i need information on flights leaving philadelphia on friday arriving in oakland california,1
 what flights are available from denver to san francisco,1
 i would like a flight from atlanta to dallas on friday that arrives in dallas by 6 pm,1
 please list the flights for me that leave dallas on tuesday morning and arrive in atlanta,1
 all flights from baltimore to atlanta between 1 o'clock and 3 o'clock in the afternoon,1
 round trip fares from baltimore to philadelphia under 1000 dollars,0
 show me the flights from philadelphia to dallas that stop in atlanta,1
 i need to fly from baltimore to dallas on tuesday evening,1
 flights from newark to cleveland daily 5 o'clock pm,1
 give me a flight between boston and denver,1
 show me all flights from san francisco to boston philadelphia or baltimore,1
 show flights between boston and denver,1
 what is the latest flight on wednesday going from atlanta to washington dc,1
 what is the cheapest ticket from baltimore to san francisco on friday august thirtieth,0
 i'd like a ticket from denver to atlanta with a stopover in pittsburgh is this possible,0
 i would like a flight on american airlines from baltimore to san francisco with a stop in denver,1
 what is the fare going one way on november seventh from denver to oakland,0
 is there a flight on united airlines from boston to denver,1
 show me the evening flights from philadelphia to atlanta,1
 show me ground transportation in philadelphia on monday morning,0
 tell me about flights from toronto to salt lake city,1
 i would like an american flight from toronto to san diego with a stopover in denver please,1
 what's the cheapest one way flight from oakland to boston,1
 i want to fly from baltimore to dallas round trip,1
 show me the one way flights from atlanta to pittsburgh,1
 flights on sunday from tampa to charlotte,1
 find travel arrangements for a round trip flight from dallas to pittsburgh,1
 what is the least expensive one way fare from boston to pittsburgh,0
 what is the latest flight in the day to arrive in boston from baltimore,1
 what is the cheapest flight from denver to pittsburgh,1
 show me the flights from denver to pittsburgh and atlanta,1
 does twa have a flight from indianapolis to houston arriving at 11 am,1
 i need to know what flights leave atlanta on sunday evening and arrive in baltimore,1
 i'd like to find a us air flight from orlando to cleveland that arrives around 10 o'clock in the evening,1
 please list the twa flights from las vegas to new york and fare,1
 all flights from dallas to san francisco,1
 what's the cheapest fare from san francisco to baltimore,0
 show me boston to oakland flights,1
 i need to fly leaving philadelphia to atlanta,1
 i would like to find a flight from charlotte north carolina to las vegas i would like a stopover in st. louis,1
 please show me any united flights including connections between boston and san francisco at 5 in the evening,1
 flights from cincinnati to o'hare departing after 718 am american,1
 interested in a flight from washington to fort worth,1
 list nonstop flights from burbank to denver arriving by 6 pm,1
 show me the schedule for airlines leaving pittsburgh going to san francisco for next monday,1
 give me morning flights from charlotte to baltimore,1
 list all united flights from philadelphia to san francisco,1
 i want to fly from milwaukee to orlando,1
 is there a flight from boston to atlanta which leaves boston in the afternoon and arrives close to 5 pm,1
 show me one way flights from milwaukee to orlando leaving on wednesday morning,1
 show me all the flights from burbank,1
 show me the aircraft that canadian airlines uses,0
 yes i live in washington and i want to make a trip to san francisco which airlines may i use for this trip,1
 please list flights from atlanta to philly,1
 flights from la guardia or jfk to cleveland,1
 show me the american airline flights leaving phoenix on wednesday and arriving in milwaukee,1
 show all flights on lufthansa airlines out of boston,1
 can you tell me the cheapest flight between boston and san francisco,1
 i would like to see the flights from baltimore to philadelphia please,1
 give me flights from atlanta to baltimore,1
 i want a flight departing from newark to los angeles that leaves in the morning,1
 list the flights from baltimore to seattle that stop in minneapolis,1
 i need a flight from pittsburgh to new york departing after 5 pm,1
 show me all flights from phoenix to milwaukee on american airlines on wednesday,1
 which are the least expensive flights between dallas and baltimore on july nineteenth,1
 show me all flights from san francisco to denver,1
 which airlines fly between baltimore and san francisco,0
 what airlines fly from boston to denver,0
 round trip flights between houston and las vegas,1
 what american airlines flights depart milwaukee for phoenix on saturday or sunday,1
 i'm looking for a flight that goes from ontario to westchester and stops in chicago,1
 what is the cheapest one way ticket from denver to pittsburgh,0
 what kind of airline is flight ua 281 from boston to denver,0
 which airlines fly between boston and philadelphia,0
 list nonstop flights from baltimore washington airport to oakland that depart in the afternoon,1
 please list fares for all the flights from atlanta to philadelphia on august the first,0
 show me the flights that go from san diego to newark new jersey by way of houston,1
 what flights are there from dallas to pittsburgh on monday morning,1
 what kind of aircraft is used on the first class american airlines flight from philadelphia to san francisco stopping in dallas,0
 what is the cost of round trip ticket first class between oakland and atlanta,0
 i need flight information on saturday for a flight from philadelphia to dallas,1
 what night flight do you have from san francisco to denver on united on the evening of august twenty seventh,1
 what are the flights from philadelphia to dallas on october first 1991,1
 list all tuesday night flights from boston to denver,1
 what flights available between pittsburgh and baltimore on august eleventh,1
 i want a flight from denver to pittsburgh then from pittsburgh to atlanta then from atlanta back to pittsburgh back to denver,1
 give me a flight from newark to tampa on friday,1
 what are the flights from pittsburgh to baltimore,1
 list the american airlines flights from dallas to san francisco,1
 what afternoon flights are available from pittsburgh to atlanta on a weekday,1
 what does the abbreviation ua mean,0
 i'd like a flight on united airlines from dallas to san francisco that leaves after 815 am,1
 what is the fare on american airlines flight 928 from dallas fort worth to boston,0
 flights from indianapolis to seattle washington,1
 which airline is the cheapest to fly from dallas to baltimore on december twenty fourth,0
 how much is a round trip first class fare between boston and washington,0
 i'd like to find a flight from tampa to montreal that makes a stop in new york,1
 show the flights that leave philadelphia that go to atlanta that leave early on thursday morning,1
 show me the airlines for flights to or from love field,0
 how many flights does each airline have with first class service,0
 show me next wednesday's flights between phoenix and milwaukee,1
 show me flights from philadelphia to baltimore,1
 round trip air fares from pittsburgh to philadelphia less than 1000 dollars,0
 show me the flights from boston to san francisco leaving after 4 pm on friday,1
 what does code y stand for,0
 what is the cheapest round trip flight from denver to atlanta,1
 can you show me flights that are economy class from baltimore to dallas,1
 ground transportation denver,0
 what is the earliest flight from boston to san francisco that serves a meal,1
 what ground transportation is available at denver airport,0
 okay i'm sorry could you tell me what flights leave atlanta and arrive in philadelphia around 5 o'clock,1
 and how much does it cost to travel from boston airport to downtown,0
 earliest flight from atlanta to philadelphia,1
 what flights from indianapolis to memphis,1
 when is the first flight in the morning from boston to denver,1
 show me the nonstop flights from nashville to st. louis,1
 show flights from atlanta to baltimore,1
 where is general mitchell international located,0
 what is bur,0
 are there any nonstop flights from san francisco to boston on thursdays,1
 thank you for that information now i would like information on a flight on april sixteen from atlanta to philadelphia early in the morning,1
 i'd like flights going from boston to atlanta leaving on august sixth in the afternoon,1
 i need to fly from denver to san francisco tuesday,1
 what does ff mean,0
 i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,1
 all flights from pittsburgh to philadelphia that arrive at 6 o'clock next tuesday,1
 list all flights departing from general mitchell,1
 show me the one way fares from san diego to miami nonstop,0
 show me the flights from atlanta to boston,1
 what are the delta flights from dallas to boston,1
 show me all flights from boston to dfw,1
 what is the departure time of the latest flight of united airlines from denver to boston,1
 show me the airlines that fly between toronto and denver,0
 on thursday i'd like a flight from st. petersburg to miami,1
 please find me a flight between boston and philadelphia that arrives in philadelphia close to 5 pm,1
 what northwest airline flights leave denver before noon,1
 from denver to baltimore,1
 i'm trying to find a flight from columbus to phoenix through cincinnati,1
 flight information between washington and denver on september third,1
 what flights go from boston to denver before 10 am,1
 flights from charlotte to baltimore,1
 what is restriction ap57,0
 please list all flights from dallas to philadelphia on monday,1
 list all united flights from boston to san francisco,1
 are there any flights from boston to san francisco with a stopover in dallas,1
 i need a flight from san francisco to pittsburgh from pittsburgh to new york and then new york to san francisco,1
 what flights from atlanta to st. louis on tuesday arriving around 230 pm,1
 show me the flights to love field from all other airports,1
 show me all flights from montreal,1
 is there a flight departing from san francisco and arriving in oakland on november seventh in the evening,1
 show me the flights from denver to westchester county,1
 can you tell me the latest evening flight from atlanta to denver on july seventh,1
 show me all flights from denver or philadelphia or pittsburgh to baltimore,1
 flights from las vegas to montreal,1
 does midwest express serve cleveland,1
 what kind of aircraft does delta fly before 8 am on august second from boston to denver,0
 list all flights arriving and departing at general mitchell international,1
 what is the cheapest one way fare from atlanta to boston,0
 okay i'm looking for a flight from tampa to st. louis leaving before 10 am any day,1
 what are all flights from boston to denver,1
 can you give me information on transportation from the airport in philadelphia to downtown philadelphia,0
 give me a flight from memphis to las vegas and new york city to las vegas on sunday that arrive at the same time,1
 what kind of airplane goes from philadelphia to san francisco monday stopping in dallas in the afternoon first class flight,0
 list all flights on continental departing on monday before noon from denver to chicago,1
 i would like to know the first class fare on a flight from baltimore to denver,0
 flights from newark to cleveland 5 o'clock pm daily,1
 what is the cheapest fare between boston and san francisco,0
 on tuesday i'd like to fly from detroit to st. petersburg,1
 find a flight from san francisco to boston on wednesday,1
 what is the cheapest flight from dallas to baltimore,1
 what flights are there from newark to seattle on saturday,1
 please list all the takeoffs and landings for general mitchell international,1
 please list the morning flights from kansas city to atlanta,1
 i want to leave boston at 838 and arrive in denver at 1110 in the morning,1
 i would like one flight from kansas city to st. paul arriving around dinnertime 6 pm,1
 list nonstop flights from baltimore to newark on wednesday before noon,1
 i'm looking for a flight traveling from boston to denver one way and the cheapest way possible,1
 what ground transportation is available at the boston airport,0
 what type of aircraft is used on american airline flight 315,0
 explain restriction ap please,0
 i would like a us air flight from toronto to san diego with a stopover in denver please,1
 what is the lowest fare from denver to atlanta,0
 what flights are there from new york city to las vegas,1
 how long does it take to get from kansas city to st. paul,0
 i would like a flight from kansas city to st. paul departing at 4 pm,1
 what is the round trip fare on continental 1291 from dallas to san francisco and return,0
 i want to go and take a plane in atlanta and fly to boston,0
 i'd like a flight leaving atlanta august seventh and arriving in denver colorado august seventh leaving in the afternoon,1
 show first flight from philadelphia to dallas,1
 list the flights from philadelphia to dallas on american airlines,1
 find a nonstop flight between boston and washington arriving in washington around 5 pm,1
 give me the continental flights from chicago to seattle on saturday morning,1
 what ground transportation is available in dallas tomorrow,0
 show me all flights from pittsburgh to boston both direct and connecting that depart pittsburgh after 7 pm,1
 show me the flights from pittsburgh to baltimore,1
 show me all the flights from montreal to detroit,1
 show me all flights from san francisco to la guardia nonstop,1
 show me flights from philadelphia to baltimore,1
 show me all the delta flights leaving pittsburgh between 12 and 4 in the afternoon,1
 could you please show me all flights from charlotte to milwaukee,1
 i'd like to find the earliest flight possible from san francisco to atlanta,1
 what flights are available on wednesday from atlanta to washington dc,1
 i would like information information on flights from san francisco to denver on thursday morning,1
 please list the flights from st. paul to kansas city on friday night that serve meals,1
 flights from chicago to denver on continental on saturday morning,1
 i need a return flight from chicago to kansas city leaving chicago around 7 in the evening on the day following next wednesday,1
 i would like the fare on the us air 1039 from denver to pittsburgh on april twenty,0
 what is the cheapest way to travel round trip from milwaukee to san francisco,1
 what're the lowest one way fares from denver to atlanta,0
 what flights are there from pittsburgh to san francisco on friday,1
 flights from la guardia to jfk,1
 please show me the return flight number from toronto to st. petersburg,1
 find me the earliest boston departure for atlanta and the lastest return trip from atlanta so that i can be in atlanta the longest amount of time but return to boston the same day,1
 an american airlines flight first class from philadelphia to dallas,1
 list the flights from houston to st. paul,1
 i would like to see the economy fares for denver to philadelphia,0
 what are the flights from kansas city to burbank on saturday may twenty two on america west,1
 flights from st. paul to houston,1
 show me the aircraft that canadian airlines uses,0
 which airlines have flights from san francisco to washington by way of indianapolis,0
 are there any flights from boston to san francisco which stop in washington dc,1
 all flights from boston to washington dc on november eleventh before 10 am,1
 denver to philadelphia monday,1
 nonstop flights denver to kansas city,1
 i would like direct coach flights from pittsburgh to atlanta,1
 what flights are there arriving in chicago on continental after 11 pm,1
 can you list all nonstop flights departing from st. petersburg and arriving in charlotte,1
 what is the type of aircraft for united flight 21,0
 can you tell me about flights from san jose to nashville on saturday afternoon,1
 please give me flights available from denver to philadelphia,1
 round trip air fares from baltimore to philadelphia less than 1000 dollars,0
 dallas to oakland saturday,1
 what aircraft is used on delta flight 1222 from kansas city to salt lake city,0
 i need to go from philadelphia to dallas,1
 how many flights does american airlines have from boston to atlanta,0
 only show continental flights,1
 what is restriction ap 80,0
 oakland to denver,1
 show me flights between new york city and las vegas on sunday,1
 can you tell me the flights on october fifteenth 1991 from boston to oakland,1
 what flights from chicago to denver in the morning,1
 what are the flights from washington dc to denver,1
 i would like an evening flight from pittsburgh to los angeles on june third,1
 from las vegas to phoenix departing in the morning,1
 flights from milwaukee to phoenix on saturday or sunday american airlines,1
 flights from boston to pittsburgh,1
 i'm looking for ground transportation in dallas,0
 is there a flight from atlanta to san francisco that stops over in denver,1
 what is the earliest flight between boston and washington,1
 first class american flight from philadelphia to dallas on wednesday,1
 i'd need information please on a flight from washington dc san francisco california,1
 i'd like flight information between boston and washington september third,1
 list daily flights from atlanta to denver,1
 all flights from baltimore to philadelphia less than 1000 dollars,1
 show me the flights from san francisco to boston on august thirty first,1
 show flights between boston and philadelphia,1
 what limousine service is in boston,0
 what are the flights from las vegas to burbank also on saturday may twenty two,1
 how many united flights are there to san francisco,0
 show me the flights into love field,1
 what are the rental car rates in san francisco,0
 san francisco to boston please with a stopover in denver,1
 i would like to see the flights from denver to philadelphia,1
 please list all flights on united airlines and northwest which go to denver,1
 i'm traveling to dallas from philadelphia,1
 list the total number of flights to all airports by delta,0
 i need to book a flight from newark to tampa on april fourth,1
 show me all flights between san francisco and philadelphia for september fifteenth,1
 all flights from san francisco to los angeles,1
 is there a flight on continental airlines from boston to denver,1
 what flight from denver to pittsburgh arrives earliest in the morning,1
 when is the earliest flight from boston to denver,1
 what's a flight that goes from baltimore to seattle,1
 what's the first flight from boston to san francisco,1
 please give grounds transportation at dallas airport,0
 what is the latest afternoon flight i can get from dallas to san francisco on first class,1
 what is restriction ap 57,0
 what is the earliest flight from boston that will arrive in denver,1
 what is the earliest arrival in salt lake city of a flight from toronto,1
 and what is the last flight from denver to boston for tomorrow evening,1
 please show all flights from philadelphia to denver airport next sunday,1
 all flights and fares from pittsburgh to dallas round trip after 12 pm less than 1100 dollars,1
 show me all fares between philadelphia and san francisco that are less than 200 dollars one way,0
 show me fares leaving on tuesdays from denver to dallas,0
 i want wednesday flights from atlanta to washington dc,1
 are they all nonstop flights from kansas city to st. paul,1
 okay show me all the flights to baltimore,1
 flights from pittsburgh to baltimore between 10 am and 2 pm,1
 i'd like a return flight from denver to atlanta evening flights,1
 american flights from cincinnati to salt lake city,1
 list all the flights that depart from general mitchell international,1
 minneapolis to phoenix on monday,1
 show me dallas ground transport,0
 what flights are available monday from san francisco to pittsburgh,1
 flights from pittsburgh to los angeles thursday evening,1
 i need to fly from washington to san francisco but i'd like to stop over at dallas can you tell me a schedule of flights that will do that,1
 what's the cheapest round trip fare between dallas and baltimore,0
 please list nonstop flights from las vegas to new york on america west,1
 i'd like to see flights from baltimore to atlanta that arrive before noon and i'd like to see flights from denver to atlanta that arrive before noon,1
 okay just on november twenty third i want to fly from atlanta to denver and i need to know what flights are available,1
 what kind of plane flies from boston to pittsburgh after noon,0
 flight from denver to salt lake city,1
 are there any other flights from boston to pittsburgh wednesday next week later than 5 pm,1
 flight information from oakland to denver,1
 i would like a flight between denver and san francisco leaving from denver in the afternoon and arriving at 5 pm it must be a nonstop flight,1
 what flights are there available from philadelphia to denver on wednesday with economy class,1
 is there a united airlines flight from miami to washington dc arriving around noon,1
 show me all the flights from new york to milwaukee,1
 what ground transportation is available in denver,0
 could i have a listing of flights leaving boston going to baltimore leaving wednesday after 2100,1
 what ground transportation is available in atlanta,0
 what is the cost of the air taxi operation at philadelphia international airport,0
 what does d s stand for for meals,0
 show all airlines with flights between denver and dallas,0
 first class round trip airfare from indianapolis to memphis,0
 how much does flight ua 297 from denver to san francisco cost,0
 i need a round trip flight from cincinnati to san jose california,1
 what northwest airline flights leave denver before noon,1
 show me return flights from cincinnati to salt lake city nonstop,1
 is there a flight leaving from boston to atlanta,1
 show me a list of flights on july twenty second leaving dc to dallas leaving dc after 6 pm,1
 my question is i want to go to san francisco and i live in denver and i would like to fly on united airlines do you have an early flight,1
 show flights from pittsburgh into san francisco,1
 what flights are there from dallas to houston,1
 show me all flights between boston and washington,1
 show me all flights from boston to denver which arrive in denver wednesday before noon,1
 list possible round trip daily flights between boston and oakland,1
 please show me airlines with service from boston to denver,0
 what are the fares for flights between atlanta and dfw provided by delta airlines,0
 show me one more time the first class fares from baltimore to dallas,0
 what are my choices of flights to get from charlotte to minneapolis arriving about 7 pm in minneapolis,1
 tell me the flights from baltimore to dallas,1
 i want to find a flight from boston to atlanta,1
 ground transportation between airport and downtown in boston,0
 what're the flights from memphis to las vegas that arrive on a sunday,1
 i would like to fly from dallas to san francisco on saturday and arrive in san francisco before 4 pm,1
 what are the flights from dallas to boston for tomorrow night or evening,1
 flight from denver to boston,1
 show me the flights from san francisco to dallas on continental airlines,1
 find me flights that are nonstop between boston and dallas,1
 show me the fare from dallas to san francisco,0
 i want to know what flights you have available coach or economy class from baltimore to dallas,1
 show me american flights from dallas to san francisco,1
 what is the cheapest flight from pittsburgh to atlanta one way,1
 show prices for all flights from baltimore to dallas on july twenty ninth,0
 what flights are available from dallas fort worth to atlanta,1
 looking for flights in toronto to san diego,1
 what do you have tomorrow after 5 o'clock from atlanta to san francisco,1
 what flight leaves dallas for atlanta on august twenty seventh in the evening,1
 list all flights from boston to oakland,1
 what's the latest flight from san francisco to atlanta,1
 philadelphia to boston monday,1
 i want a flight from los angeles to charlotte that leaves on a weekday morning,1
 ground transport in denver,0
 i would like a flight between denver and san francisco leaving from denver in the afternoon and arriving at 5 pm,1
